Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,META,META,META,META,META,,,
2024-06-12,2024,6,12,Wednesday,23,2024-23,510.06,510.08,500.61,504.95,11983200,0.002699570966561815,481.1007142857143,477.87399999999997
2024-06-13,2024,6,13,Thursday,23,2024-23,501.84,505.46,497.52,500.24,9954600,-0.009315149263951605,483.8164285714285,477.82160000000005
2024-06-14,2024,6,14,Friday,23,2024-23,499.3,503.77,497.41,500.8,10243300,0.001111949667424783,485.6907142857143,477.69739999999996
2024-06-17,2024,6,17,Monday,24,2024-24,498.32,507.34,492.7,503.25,11266600,0.0048993440403612976,487.6192857142857,477.2964
2024-06-18,2024,6,18,Tuesday,24,2024-24,501.2,502.63,491.72,496.16,13060400,-0.014093340096800855,489.43571428571425,476.914
2024-06-20,2024,6,20,Thursday,24,2024-24,498.65,500.31,493.46,498.35,11801200,0.004424673708223192,491.9264285714286,476.6222
2024-06-21,2024,6,21,Friday,24,2024-24,500.09,500.09,489.11,491.48,22359200,-0.013793069662527802,493.9421428571428,476.13480000000004
2024-06-24,2024,6,24,Monday,25,2024-25,495.87,504.41,490.99,495.58,13525300,0.008347116454348491,495.495,475.6632
2024-06-25,2024,6,25,Tuesday,25,2024-25,493.74,507.3,492.2,507.2,12063200,0.023431038041606733,497.9135714285714,475.6476
2024-06-26,2024,6,26,Wednesday,25,2024-25,503.27,510.38,501.31,509.7,8882300,0.004935445876974809,499.23,475.91360000000003
2024-06-27,2024,6,27,Thursday,25,2024-25,510.82,519.39,510.47,516.1,10121200,0.012550682408442038,501.0957142857143,476.3168
2024-06-28,2024,6,28,Friday,25,2024-25,513.7,518.4,500.48,500.86,15855100,-0.02952507831985718,501.92928571428575,476.5262
2024-07-01,2024,7,1,Monday,26,2024-26,501.58,503.2,489.88,501.31,10328200,0.0009122532637335645,502.1121428571428,476.5932
2024-07-02,2024,7,2,Tuesday,26,2024-26,497.42,507.1,496.12,506.1,7739500,0.009550631667305964,502.2914285714286,477.1674
2024-07-03,2024,7,3,Wednesday,26,2024-26,502.99,507.87,502.65,506.56,6005600,0.0009027995106116737,502.4064285714286,477.7378
2024-07-05,2024,7,5,Friday,26,2024-26,508.19,537.26,508.19,536.31,21354100,0.0587300082137765,504.98285714285714,478.61799999999994
2024-07-08,2024,7,8,Monday,27,2024-27,538.73,539.19,523.14,525.79,14917500,-0.01961420064120456,506.76785714285717,479.3394
2024-07-09,2024,7,9,Tuesday,27,2024-27,530.19,533.9,524.67,526.47,8753200,0.0012845707222581826,508.4264285714286,481.10880000000003
2024-07-10,2024,7,10,Wednesday,27,2024-27,527.25,535.29,524.84,531.12,10983300,0.00884910609872902,510.92357142857145,482.9332
2024-07-11,2024,7,11,Thursday,27,2024-27,527.35,531.89,504.98,509.28,16458300,-0.041126548015811615,511.7042857142857,484.53259999999995
2024-07-12,2024,7,12,Friday,27,2024-27,494.44,504.7,490.93,495.54,19750500,-0.02697492169584015,511.9942857142857,485.9058
2024-07-15,2024,7,15,Monday,28,2024-28,495.31,503.3,490.08,492.85,12539200,-0.005432329622011234,511.79928571428576,487.0462
2024-07-16,2024,7,16,Tuesday,28,2024-28,498.16,500.59,482.55,486.52,14075800,-0.012838581677906191,510.3221428571428,488.01059999999995
2024-07-17,2024,7,17,Wednesday,28,2024-28,475.97,475.97,456.06,458.91,28076600,-0.05675901505285996,506.69428571428574,488.2188
2024-07-18,2024,7,18,Thursday,28,2024-28,471.83,476.04,461.44,472.68,19267200,0.03000071221741485,503.59285714285716,488.43
2024-07-19,2024,7,19,Friday,28,2024-28,472.89,483.46,472.54,473.61,15149400,0.0019755072736993284,501.6464285714286,488.60900000000004
2024-07-22,2024,7,22,Monday,29,2024-29,483.34,488.78,480.67,484.15,12023100,0.022253032647523874,500.4207142857143,488.9124
2024-07-23,2024,7,23,Tuesday,29,2024-29,486.57,491.92,484.47,485.43,9455500,0.002646516347782235,498.94428571428574,489.1854
2024-07-24,2024,7,24,Wednesday,29,2024-29,469.16,473.12,457.51,458.19,17649700,-0.05610923505723875,495.4892857142857,488.898
2024-07-25,2024,7,25,Thursday,29,2024-29,460.17,460.46,439.7,450.39,18240500,-0.017039841263952638,489.3521428571429,488.6172
2024-07-26,2024,7,26,Friday,29,2024-29,461.1,466.64,456.36,462.59,14222400,0.02710575339153931,484.83785714285716,488.50419999999997
